Date,kodex200,kodex200x2,kbond3y,kbond10y,kbond20y,us500_UH,usbond10y_UH
2010-01-27,17895.0,10170.608222201316,78902.0,69933.55346561495,54042.95572532897,2592.0004013706875,8187.987008307629
2010-01-28,18125.0,10430.515172759557,78815.0,69783.90838245949,53807.98289000461,2537.9949854320944,8113.212792250325
2010-01-29,17636.0,9866.126105492373,78902.0,69955.5967537056,54069.076333208606,2529.1776619526104,8198.926273459136
2010-02-01,17699.0,9935.12666938714,78886.0,69914.69195888296,54002.15480971504,2584.79915839944,8220.546858705358
2010-02-02,17598.0,9820.238177650655,78912.0,69979.40262627706,54098.43407386856,2602.0642336960627,8192.096894603459
2010-02-03,17800.0,10044.202070425976,78976.0,69936.81873930008,54028.90165056161,2563.877431373899,8081.788939272626
2010-02-04,17779.0,10018.987665888384,79013.0,69894.30505455776,53959.527026952666,2480.8470310454127,8131.700718804318
2010-02-05,17275.0,9449.439318086545,79102.0,70173.85323510622,54387.475453139865,2535.938203450745,8308.25610699053
2010-02-08,17127.0,9286.102157299312,79085.0,69971.34685457348,54069.862592851336,2523.009169867731,8317.510632691105
2010-02-09,17282.0,9452.78102594855,79066.0,69875.23868742364,53917.63829952983,2520.9259820604348,8173.897587795464
2010-02-10,17292.0,9462.295059227174,79052.0,69939.90089649361,54013.7484519361,2526.9703551130983,8185.793965538109
2010-02-11,17582.0,9778.247983972266,79233.0,70273.50819422718,54525.34364640812,2534.081147841835,8118.766645879475
2010-02-12,17511.0,9697.800035360382,79377.0,70338.5812967508,54622.60275406789,2530.434243273795,8131.6645505079905
2010-02-16,17627.0,9824.822027560156,79395.0,70308.25473420152,54571.773345062014,2557.9850931516794,8111.7182939984195
2010-02-17,17945.0,10177.83002907517,79344.0,70319.30088107218,54585.19617393957,2564.5038543600385,8055.133200536711
2010-02-18,17879.0,10101.429098948662,79405.0,70384.41638751558,54682.56204302491,2582.327471034541,8036.135172198285
2010-02-19,17559.0,9738.31323804882,79344.0,70287.32137308341,54527.96099995657,2603.492578757371,8085.856957875172
2010-02-22,17945.0,10165.0,79242.0,70354.07623248824,54627.81429902512,2596.7326502091505,8058.705210213418
2010-02-23,17945.0,10165.0,79259.0,70419.22394082489,54725.25618782057,2584.6103402345225,8172.659594487223
2010-02-24,17722.0,9935.0,79445.0,70919.63322218129,55499.29228459668,2605.117593373448,8167.213565341352
2010-02-25,17458.0,9605.0,79618.0,71315.16798911929,56114.56834280968,2618.3475990916863,8243.948606002125
2010-02-26,17464.0,9675.0,79587.0,71326.04017953726,56127.84793654781,2610.550773053605,8227.95455347895
2010-03-02,17769.0,9970.0,79597.0,71349.48830011573,56160.920552250136,2610.7664001632816,8140.446566467743
2010-03-03,17820.0,10000.0,79672.0,71471.017902603,56348.40516852907,2606.816610679596,8114.619670985867
2010-03-04,17756.0,9980.0,79769.0,71871.09963011842,56975.41536348664,2618.7160926767333,8139.400623498259
2010-03-05,18016.0,10245.0,79774.0,72049.8615433505,57254.95159454856,2648.0200970708484,8080.314978506688
2010-03-08,18306.0,10605.0,79729.0,71950.16121802329,57092.5885255008,2629.905675035654,8007.339558501338
2010-03-09,18306.0,10555.0,79769.0,71960.93309114862,57105.78673302777,2640.4646179110805,8043.768968728298
2010-03-10,18327.0,10540.0,79838.0,72027.74416260787,57207.927094465485,2639.16948548593,7994.416096162455
2010-03-11,18217.0,10475.0,80103.0,72715.41217317537,58296.38098550896,2657.2975855593563,8007.598883066407
2010-03-12,18269.0,10525.0,80237.0,73068.69540657155,58858.860589888965,2649.1744518724954,7995.601447184987
2010-03-15,18088.0,10315.0,80192.0,72966.32684105936,58689.9218019996,2663.1468745912507,8032.461124632554
2010-03-16,18129.0,10340.0,80340.0,73148.91158971652,58979.63734862665,2683.8878283527365,8060.003989161968
